Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.Decode.Arrays.Hermes,442472170300,8203761774,526900860,423307992,400556032
All.Decode.Arrays.Aeson,3610636420800,217872167080,7094759399,2400069154,1168113664
All.Decode.Persons.Hermes,85509288800,8406352664,144154044,57607730,1168113664
All.Decode.Persons.Aeson,247868180600,2865191068,357269952,188528675,1168113664
All.Decode.Partial Twitter.Hermes,370146017,35771796,343483,2820,1168113664
All.Decode.Partial Twitter.JsonStream,3336542725,219236626,15140115,273381,1168113664
All.Decode.Partial Twitter.Aeson,8493198125,431029494,12492590,4982172,1168113664
All.Decode.Persons (Aeson Value).Hermes,207571886400,2643522942,304081271,140242296,1168113664
All.Decode.Persons (Aeson Value).Aeson,218985720100,21421111738,285936674,178235949,1168113664
All.Decode.Twitter (Aeson Value).Hermes,8051428025,457802270,12198854,3997934,1168113664
All.Decode.Twitter (Aeson Value).Aeson,9250630450,768612142,12493196,5649563,1168113664
